"AGE","SEX","MARRIED","PROPERTY_COMPEN","PARENT_INC","COLLEGE","VIOLENT","STRIKE","FORCE","AGE_SQUARE"
43,1,1,0,"3","0",0,0,0,1849
41,1,1,0,"2","0",0,0,0,1681
39,1,1,0,"3","0",0,0,0,1521
46,0,1,0,"3","0",1,1,0,2116
44,0,1,0,"3","0",1,1,0,1936
39,1,1,0,"3","1",1,1,0,1521
36,1,1,0,"2","0",1,1,0,1296
45,0,1,1,"2","0",0,0,0,2025
32,0,1,1,"3","0",0,0,0,1024
29,1,1,1,"3","0",0,0,0,841
27,0,1,1,"2","0",0,0,0,729
33,0,0,0,"2","0",0,0,0,1089
30,1,0,0,"2","1",0,0,0,900
25,0,1,0,"3","0",0,0,0,625
23,1,1,0,"1","1",0,0,0,529
42,0,1,0,"3","1",0,0,0,1764
34,0,1,1,"2","0",0,0,0,1156
32,1,0,1,"2","1",0,0,0,1024
46,1,1,1,"2","0",1,0,0,2116
44,0,0,1,"2","0",1,0,0,1936
43,1,1,0,"4","1",0,0,0,1849
45,0,1,0,"3","0",0,0,0,2025
43,1,1,0,"3","0",0,0,0,1849
38,1,1,0,"3","1",0,0,0,1444
44,0,1,1,"2","1",1,0,0,1936
37,0,1,0,"4","0",0,1,1,1369
35,0,1,0,"2","0",0,1,1,1225
31,0,1,0,"2","0",0,1,1,961
27,0,1,0,"2","0",0,1,1,729
24,1,0,0,"1","1",0,1,1,576
44,0,1,0,"3","0",0,1,0,1936
42,0,1,0,"2","0",0,1,0,1764
43,0,1,1,"2","0",0,0,0,1849
40,1,1,1,"2","0",0,0,0,1600
21,1,0,0,"3","0",1,1,0,441
26,1,0,0,"2","0",0,0,0,676
25,1,0,0,"1","0",0,0,0,625
41,0,1,0,"2","0",0,0,0,1681
30,0,1,0,"3","0",0,0,0,900
44,1,1,1,"4","0",1,1,0,1936
39,0,1,1,"4","0",1,1,0,1521
36,1,1,1,"3","1",1,1,0,1296
33,1,1,1,"3","1",1,1,0,1089
26,0,0,1,"2","1",1,1,0,676
29,0,1,1,"2","0",1,1,0,841
43,1,1,1,"2","1",0,0,0,1849
46,1,1,0,"2","0",0,1,1,2116
39,0,1,0,"2","0",0,1,1,1521
38,1,1,0,"4","0",0,1,1,1444
35,1,0,1,"2","0",1,0,0,1225
34,0,1,1,"3","1",1,0,0,1156
42,1,1,1,"2","0",0,1,1,1764
38,1,1,1,"1","0",0,1,1,1444
36,0,1,1,"1","0",0,1,1,1296
34,0,0,1,"4","0",0,1,1,1156
42,0,1,1,"2","0",1,1,0,1764
37,0,1,1,"3","0",1,1,0,1369
35,0,1,1,"3","1",1,1,0,1225
30,0,1,1,"2","0",1,1,0,900
41,0,1,0,"2","0",0,0,0,1681
40,1,1,1,"2","0",0,0,0,1600
45,1,1,0,"3","1",1,1,0,2025
39,0,1,0,"2","0",1,1,0,1521
33,0,0,0,"2","0",1,1,0,1089
29,0,1,0,"2","0",1,1,0,841
26,1,0,0,"3","1",1,1,0,676
26,1,0,1,"1","1",0,0,0,676
25,1,0,1,"3","1",0,0,0,625
22,1,1,1,"1","1",0,0,0,484
46,1,0,1,"3","1",0,0,0,2116
40,0,1,1,"3","0",0,0,0,1600
38,0,1,1,"3","0",0,0,0,1444
35,1,1,1,"4","1",0,0,0,1225
46,1,1,1,"4","0",0,0,0,2116
45,1,1,0,"2","0",0,0,0,2025
44,1,0,0,"3","0",0,0,0,1936
38,1,1,0,"3","1",0,0,0,1444
41,0,1,0,"3","0",0,0,0,1681
38,1,1,0,"3","1",0,0,0,1444
43,1,1,0,"3","0",0,0,0,1849
36,1,1,0,"2","0",0,0,0,1296
42,1,1,0,"3","0",0,0,0,1764
34,1,1,1,"2","1",0,0,0,1156
30,0,1,1,"3","1",0,0,0,900
45,0,0,1,"2","1",0,0,0,2025
43,0,1,1,"4","0",0,0,0,1849
41,1,1,1,"3","1",0,0,0,1681
34,1,1,1,"3","1",0,0,0,1156
44,1,1,1,"3","0",0,0,0,1936
